peak_id,featID
31901,FT02317
25898,FT02317
127341,FT02317
218242,FT02317
50427,FT02317
87767,FT02317
39307,FT02317
67946,FT02379
87788,FT03141
50435,FT03141
93949,FT03141
19651,FT03141
62994,FT03141
132932,FT03141
25897,FT03141
31890,FT03141
127414,FT03141
38252,FT03141
192206,FT03178
93823,FT03178
87668,FT03178
39562,FT03178
20784,FT03178
25674,FT03178
102653,FT03178
132866,FT03178
50378,FT03178
134215,FT03214
62562,FT03214
37321,FT03390
24604,FT03390
212130,FT03390
192295,FT03390
243890,FT03423
250256,FT03423
212134,FT03423
185716,FT03423
33455,FT03423
134284,FT03423
38090,FT03423
20849,FT03423
282840,FT03562
87477,FT03562
31589,FT03562
289694,FT04369
283259,FT04369
212624,FT04369
186239,FT04369
192794,FT04369
199250,FT04369
250787,FT04369
179782,FT04369
219149,FT04369
87438,FT04841
33665,FT04841
25207,FT04841
180041,FT04841
37984,FT04841
127200,FT04841
25170,FT05212
213032,FT05212
37950,FT05212
193216,FT05212
193331,FT05504
37500,FT05505
296895,FT05504
49733,FT05505
193332,FT05505
24775,FT05505
49734,FT05504
24776,FT05504
120172,FT05516
120171,FT05516
56390,FT05516
92976,FT05516
232037,FT05516
30746,FT05516
290213,FT05516
83227,FT05516
264178,FT05516
180320,FT05516
37144,FT05516
24457,FT05516
226047,FT05781
297015,FT05781
37344,FT05779
213295,FT05779
180446,FT05779
93154,FT05789
30941,FT05856
19501,FT05898
99829,FT06594
187457,FT06794
213828,FT06794
193996,FT06794
187573,FT07160
258639,FT07160
264964,FT07160
194113,FT07160
284483,FT07160
226714,FT07227
87558,FT07227
132793,FT07227
264979,FT07227
213983,FT07245
38250,FT07245
25829,FT07245
181113,FT07245
31875,FT07245
127404,FT07245
93537,FT08015
38058,FT08187
187967,FT08187
214393,FT08187
194525,FT08187
291467,FT08187
252563,FT08187
220778,FT08187
214528,FT08428
188114,FT08428
89987,FT08428
31131,FT08428
259202,FT08462
181660,FT08462
52696,FT08462
87475,FT08462
227269,FT08462
